t_ms,lon,lat,alt
79600,157.053,-31.604,485.55
80000,157.047,-31.629,485.556
80400,157.041,-31.654,485.563
80800,157.035,-31.679,485.57
81200,157.029,-31.705,485.577
81600,157.023,-31.73,485.583
82000,157.016,-31.755,485.59
82400,157.01,-31.78,485.597
82800,157.004,-31.806,485.604
83200,156.998,-31.831,485.61
83600,156.992,-31.856,485.617
84000,156.986,-31.881,485.624
84400,156.979,-31.907,485.631
84800,156.973,-31.932,485.637
85200,156.967,-31.957,485.644
85600,156.961,-31.982,485.651
86000,156.955,-32.008,485.658
86400,156.948,-32.033,485.664
86800,156.942,-32.058,485.671
87200,156.936,-32.083,485.678
87600,156.93,-32.108,485.685
88000,156.924,-32.134,485.691
88400,156.917,-32.159,485.698
88800,156.911,-32.184,485.705
89200,156.905,-32.209,485.712
89600,156.899,-32.235,485.719
90000,156.893,-32.26,485.725
90400,156.886,-32.285,485.732
90800,156.88,-32.31,485.739
91200,156.874,-32.336,485.746
91600,156.868,-32.361,485.752
92000,156.861,-32.386,485.759
92400,156.855,-32.411,485.766
92800,156.849,-32.437,485.773
93200,156.843,-32.462,485.78
93600,156.837,-32.487,485.786
94000,156.83,-32.512,485.793
94400,156.824,-32.538,485.8
94800,156.818,-32.563,485.807
95200,156.812,-32.588,485.814
95600,156.805,-32.613,485.82
96000,156.799,-32.639,485.827
96400,156.793,-32.664,485.834
96800,156.787,-32.689,485.841
97200,156.78,-32.714,485.848
97600,156.774,-32.739,485.854
98000,156.768,-32.765,485.861
98400,156.761,-32.79,485.868
98800,156.755,-32.815,485.875
99200,156.749,-32.84,485.882
99600,156.743,-32.866,485.889
100000,156.736,-32.891,485.895
100400,156.73,-32.916,485.902
100800,156.724,-32.941,485.909
101200,156.717,-32.967,485.916
101600,156.711,-32.992,485.923
102000,156.705,-33.017,485.93
102400,156.699,-33.042,485.936
102800,156.692,-33.067,485.943
103200,156.686,-33.093,485.95
103600,156.68,-33.118,485.957
104000,156.673,-33.143,485.964
104400,156.667,-33.168,485.971
104800,156.661,-33.194,485.977
105200,156.654,-33.219,485.984
105600,156.648,-33.244,485.991
106000,156.642,-33.269,485.998
106400,156.635,-33.295,486.005
106800,156.629,-33.32,486.012
107200,156.623,-33.345,486.019
107600,156.616,-33.37,486.025
108000,156.61,-33.395,486.032
108400,156.604,-33.421,486.039
108800,156.597,-33.446,486.046
109200,156.591,-33.471,486.053
109600,156.585,-33.496,486.06
110000,156.578,-33.522,486.067
110400,156.572,-33.547,486.073
110800,156.566,-33.572,486.08
111200,156.559,-33.597,486.087
111600,156.553,-33.623,486.094
112000,156.547,-33.648,486.101
112400,156.54,-33.673,486.108
112800,156.534,-33.698,486.115
113200,156.528,-33.723,486.122
113600,156.521,-33.749,486.128
114000,156.515,-33.774,486.135
114400,156.508,-33.799,486.142
114800,156.502,-33.824,486.149
115200,156.496,-33.85,486.156
115600,156.489,-33.875,486.163
116000,156.483,-33.9,486.17
116400,156.477,-33.925,486.177
116800,156.47,-33.95,486.183
117200,156.464,-33.976,486.19
117600,156.457,-34.001,486.197
118000,156.451,-34.026,486.204
118400,156.445,-34.051,486.211
118800,156.438,-34.076,486.218
119200,156.432,-34.102,486.225
119600,156.425,-34.127,486.232
120000,156.419,-34.152,486.239
120400,156.412,-34.177,486.246
120800,156.406,-34.203,486.252
121200,156.4,-34.228,486.259
121600,156.393,-34.253,486.266
122000,156.387,-34.278,486.273
122400,156.38,-34.303,486.28
122800,156.374,-34.329,486.287
123200,156.367,-34.354,486.294
123600,156.361,-34.379,486.301
124000,156.355,-34.404,486.308
124400,156.348,-34.43,486.315
124800,156.342,-34.455,486.322
125200,156.335,-34.48,486.329
125600,156.329,-34.505,486.335
126000,156.322,-34.53,486.342
126400,156.316,-34.556,486.349
126800,156.309,-34.581,486.356
127200,156.303,-34.606,486.363
127600,156.296,-34.631,486.37
128000,156.29,-34.656,486.377
128400,156.283,-34.682,486.384
128800,156.277,-34.707,486.391
129200,156.27,-34.732,486.398
129600,156.264,-34.757,486.405
130000,156.258,-34.783,486.412
130400,156.251,-34.808,486.419
130800,156.245,-34.833,486.426
131200,156.238,-34.858,486.433
131600,156.232,-34.883,486.439
132000,156.225,-34.909,486.446
132400,156.219,-34.934,486.453
132800,156.212,-34.959,486.46
133200,156.205,-34.984,486.467
133600,156.199,-35.009,486.474
134000,156.192,-35.035,486.481
134400,156.186,-35.06,486.488
134800,156.179,-35.085,486.495
135200,156.173,-35.11,486.502
135600,156.166,-35.135,486.509
136000,156.16,-35.161,486.516
136400,156.153,-35.186,486.523
136800,156.147,-35.211,486.53
137200,156.14,-35.236,486.537
137600,156.134,-35.261,486.544
138000,156.127,-35.287,486.551
138400,156.121,-35.312,486.558
138800,156.114,-35.337,486.565
139200,156.107,-35.362,486.572
139600,156.101,-35.387,486.579
140000,156.094,-35.413,486.586
140400,156.088,-35.438,486.592
140800,156.081,-35.463,486.599
141200,156.075,-35.488,486.606
141600,156.068,-35.513,486.613
142000,156.061,-35.539,486.62
142400,156.055,-35.564,486.627
142800,156.048,-35.589,486.634
143200,156.042,-35.614,486.641
143600,156.035,-35.639,486.648
144000,156.029,-35.665,486.655
144400,156.022,-35.69,486.662
144800,156.015,-35.715,486.669
145200,156.009,-35.74,486.676
145600,156.002,-35.765,486.683
146000,155.996,-35.791,486.69
146400,155.989,-35.816,486.697
146800,155.982,-35.841,486.704
147200,155.976,-35.866,486.711
147600,155.969,-35.891,486.718
148000,155.962,-35.917,486.725
148400,155.956,-35.942,486.732
148800,155.949,-35.967,486.739
149200,155.943,-35.992,486.746
149600,155.936,-36.017,486.753
150000,155.929,-36.043,486.76
150400,155.923,-36.068,486.767
150800,155.916,-36.093,486.774
151200,155.909,-36.118,486.781
151600,155.903,-36.143,486.788
152000,155.896,-36.169,486.795
152400,155.889,-36.194,486.802
152800,155.883,-36.219,486.809
153200,155.876,-36.244,486.816
153600,155.869,-36.269,486.823
154000,155.863,-36.295,486.83
154400,155.856,-36.32,486.837
154800,155.849,-36.345,486.844
155200,155.843,-36.37,486.851
155600,155.836,-36.395,486.858
156000,155.829,-36.42,486.865
156400,155.823,-36.446,486.872
156800,155.816,-36.471,486.879
157200,155.809,-36.496,486.886
157600,155.803,-36.521,486.893
158000,155.796,-36.546,486.9
158400,155.789,-36.572,486.907
158800,155.782,-36.597,486.914
159200,155.776,-36.622,486.921
159600,155.769,-36.647,486.928
160000,155.762,-36.672,486.935
160400,155.756,-36.698,486.942
160800,155.749,-36.723,486.949
161200,155.742,-36.748,486.956
161600,155.735,-36.773,486.963
162000,155.729,-36.798,486.97
162400,155.722,-36.823,486.977
162800,155.715,-36.849,486.984
163200,155.708,-36.874,486.991
163600,155.702,-36.899,486.998
164000,155.695,-36.924,487.005
164400,155.688,-36.949,487.012
164800,155.681,-36.975,487.019
165200,155.675,-37.0,487.026
165600,155.668,-37.025,487.034
166000,155.661,-37.05,487.041
166400,155.654,-37.075,487.048
166800,155.647,-37.1,487.055
167200,155.641,-37.126,487.062
167600,155.634,-37.151,487.069
168000,155.627,-37.176,487.076
168400,155.62,-37.201,487.083
168800,155.614,-37.226,487.09
169200,155.607,-37.252,487.097
169600,155.6,-37.277,487.104
170000,155.593,-37.302,487.111
170400,155.586,-37.327,487.118
170800,155.58,-37.352,487.125
171200,155.573,-37.377,487.132
171600,155.566,-37.403,487.139
172000,155.559,-37.428,487.146
172400,155.552,-37.453,487.153
172800,155.545,-37.478,487.16
173200,155.539,-37.503,487.167
173600,155.532,-37.528,487.174
174000,155.525,-37.554,487.181
174400,155.518,-37.579,487.188
174800,155.511,-37.604,487.195
175200,155.504,-37.629,487.202
175600,155.498,-37.654,487.209
176000,155.491,-37.679,487.216
176400,155.484,-37.705,487.224
176800,155.477,-37.73,487.231
177200,155.47,-37.755,487.238
177600,155.463,-37.78,487.245
178000,155.456,-37.805,487.252
178400,155.449,-37.83,487.259
178800,155.443,-37.856,487.266
179200,155.436,-37.881,487.273
179600,155.429,-37.906,487.28
180000,155.422,-37.931,487.287
180400,155.415,-37.956,487.294
180800,155.408,-37.981,487.301
181200,155.401,-38.007,487.308
181600,155.394,-38.032,487.315
182000,155.387,-38.057,487.322
182400,155.38,-38.082,487.329
182800,155.374,-38.107,487.336
183200,155.367,-38.132,487.343
183600,155.36,-38.158,487.35
184000,155.353,-38.183,487.357
184400,155.346,-38.208,487.365
184800,155.339,-38.233,487.372
185200,155.332,-38.258,487.379
185600,155.325,-38.283,487.386
186000,155.318,-38.309,487.393
186400,155.311,-38.334,487.4
186800,155.304,-38.359,487.407
187200,155.297,-38.384,487.414
187600,155.29,-38.409,487.421
188000,155.283,-38.434,487.428
188400,155.276,-38.46,487.435
188800,155.269,-38.485,487.442
189200,155.262,-38.51,487.449
189600,155.255,-38.535,487.456
190000,155.248,-38.56,487.463
190400,155.241,-38.585,487.47
190800,155.234,-38.611,487.478
191200,155.227,-38.636,487.485
191600,155.22,-38.661,487.492
192000,155.213,-38.686,487.499
192400,155.206,-38.711,487.506
192800,155.199,-38.736,487.513
193200,155.192,-38.761,487.52
193600,155.185,-38.787,487.527
194000,155.178,-38.812,487.534
194400,155.171,-38.837,487.541
194800,155.164,-38.862,487.548
195200,155.157,-38.887,487.555
195600,155.15,-38.912,487.562
196000,155.143,-38.938,487.569
196400,155.136,-38.963,487.576
196800,155.129,-38.988,487.584
197200,155.122,-39.013,487.591
197600,155.115,-39.038,487.598
198000,155.108,-39.063,487.605
198400,155.101,-39.088,487.612
198800,155.094,-39.114,487.619
199200,155.087,-39.139,487.626
199600,155.08,-39.164,487.633
200000,155.073,-39.189,487.64
200400,155.066,-39.214,487.647
200800,155.059,-39.239,487.654
201200,155.051,-39.265,487.661
201600,155.044,-39.29,487.668
202000,155.037,-39.315,487.675
202400,155.03,-39.34,487.682
202800,155.023,-39.365,487.69
203200,155.016,-39.39,487.697
203600,155.009,-39.415,487.704
204000,155.002,-39.441,487.711
204400,154.995,-39.466,487.718
204800,154.987,-39.491,487.725
205200,154.98,-39.516,487.732
205600,154.973,-39.541,487.739
206000,154.966,-39.566,487.746
206400,154.959,-39.591,487.753
206800,154.952,-39.617,487.76
207200,154.945,-39.642,487.767
207600,154.938,-39.667,487.774
208000,154.93,-39.692,487.782
208400,154.923,-39.717,487.789
208800,154.916,-39.742,487.796
209200,154.909,-39.767,487.803
209600,154.902,-39.793,487.81
210000,154.895,-39.818,487.817
210400,154.887,-39.843,487.824
210800,154.88,-39.868,487.831
211200,154.873,-39.893,487.838
211600,154.866,-39.918,487.845
212000,154.859,-39.943,487.852
212400,154.851,-39.968,487.859
212800,154.844,-39.994,487.866
213200,154.837,-40.019,487.873
213600,154.83,-40.044,487.881
214000,154.823,-40.069,487.888
214400,154.815,-40.094,487.895
214800,154.808,-40.119,487.902
215200,154.801,-40.144,487.909
215600,154.794,-40.17,487.916
216000,154.786,-40.195,487.923
216400,154.779,-40.22,487.93
216800,154.772,-40.245,487.937
217200,154.765,-40.27,487.944
217600,154.757,-40.295,487.951
218000,154.75,-40.32,487.958
218400,154.743,-40.345,487.965
218800,154.736,-40.371,487.973
219200,154.728,-40.396,487.98
219600,154.721,-40.421,487.987
220000,154.714,-40.446,487.994
220400,154.707,-40.471,488.001
220800,154.699,-40.496,488.008
221200,154.692,-40.521,488.015
221600,154.685,-40.547,488.022
222000,154.677,-40.572,488.029
222400,154.67,-40.597,488.036
222800,154.663,-40.622,488.043
223200,154.656,-40.647,488.05
223600,154.648,-40.672,488.057
224000,154.641,-40.697,488.064
224400,154.634,-40.722,488.072
224800,154.626,-40.748,488.079
225200,154.619,-40.773,488.086
225600,154.612,-40.798,488.093
226000,154.604,-40.823,488.1
226400,154.597,-40.848,488.107
226800,154.59,-40.873,488.114
227200,154.582,-40.898,488.121
227600,154.575,-40.923,488.128
228000,154.567,-40.948,488.135
228400,154.56,-40.974,488.142
228800,154.553,-40.999,488.149
229200,154.545,-41.024,488.156
229600,154.538,-41.049,488.164
230000,154.531,-41.074,488.171
230400,154.523,-41.099,488.178
230800,154.516,-41.124,488.185
231200,154.508,-41.149,488.192
231600,154.501,-41.175,488.199
232000,154.494,-41.2,488.206
232400,154.486,-41.225,488.213
232800,154.479,-41.25,488.22
233200,154.471,-41.275,488.227
233600,154.464,-41.3,488.234
234000,154.457,-41.325,488.241
234400,154.449,-41.35,488.248
234800,154.442,-41.375,488.255
235200,154.434,-41.401,488.262
235600,154.427,-41.426,488.27
236000,154.419,-41.451,488.277
236400,154.412,-41.476,488.284
236800,154.404,-41.501,488.291
237200,154.397,-41.526,488.298
237600,154.39,-41.551,488.305
238000,154.382,-41.576,488.312
238400,154.375,-41.601,488.319
238800,154.367,-41.627,488.326
239200,154.36,-41.652,488.333
239600,154.352,-41.677,488.34
240000,154.345,-41.702,488.347
240400,154.337,-41.727,488.354
240800,154.33,-41.752,488.361
241200,154.322,-41.777,488.368
241600,154.315,-41.802,488.376
242000,154.307,-41.827,488.383
242400,154.3,-41.853,488.39
242800,154.292,-41.878,488.397
243200,154.285,-41.903,488.404
243600,154.277,-41.928,488.411
244000,154.269,-41.953,488.418
244400,154.262,-41.978,488.425
244800,154.254,-42.003,488.432
245200,154.247,-42.028,488.439
245600,154.239,-42.053,488.446
246000,154.232,-42.079,488.453
246400,154.224,-42.104,488.46
246800,154.217,-42.129,488.467
247200,154.209,-42.154,488.474
247600,154.201,-42.179,488.481
248000,154.194,-42.204,488.488
248400,154.186,-42.229,488.496
248800,154.179,-42.254,488.503
249200,154.171,-42.279,488.51
249600,154.163,-42.304,488.517
250000,154.156,-42.329,488.524
250400,154.148,-42.355,488.531
250800,154.141,-42.38,488.538
251200,154.133,-42.405,488.545
251600,154.125,-42.43,488.552
252000,154.118,-42.455,488.559
252400,154.11,-42.48,488.566
252800,154.102,-42.505,488.573
253200,154.095,-42.53,488.58
253600,154.087,-42.555,488.587
254000,154.08,-42.58,488.594
254400,154.072,-42.606,488.601
254800,154.064,-42.631,488.608
255200,154.057,-42.656,488.615
255600,154.049,-42.681,488.622
256000,154.041,-42.706,488.629
256400,154.033,-42.731,488.636
256800,154.026,-42.756,488.644
257200,154.018,-42.781,488.651
257600,154.01,-42.806,488.658
258000,154.003,-42.831,488.665
258400,153.995,-42.856,488.672
258800,153.987,-42.882,488.679
259200,153.98,-42.907,488.686
259600,153.972,-42.932,488.693
260000,153.964,-42.957,488.7
260400,153.956,-42.982,488.707
260800,153.949,-43.007,488.714
261200,153.941,-43.032,488.721
261600,153.933,-43.057,488.728
262000,153.925,-43.082,488.735
262400,153.918,-43.107,488.742
262800,153.91,-43.132,488.749
263200,153.902,-43.157,488.756
263600,153.894,-43.183,488.763
264000,153.887,-43.208,488.77
264400,153.879,-43.233,488.777
264800,153.871,-43.258,488.784
265200,153.863,-43.283,488.791
265600,153.855,-43.308,488.798
266000,153.848,-43.333,488.805
266400,153.84,-43.358,488.812
266800,153.832,-43.383,488.819
267200,153.824,-43.408,488.826
267600,153.816,-43.433,488.833
