time_s,solar_harvested_energy_w,total_energy_w
0,40.736322,8.864599200000002
1,40.746573999999995,9.138802200000002
2,40.746573999999995,8.6666316
3,40.746573999999995,9.0243366
4,40.746573999999995,8.909871
5,40.746573999999995,8.938487400000001
6,40.723507000000005,15.2109096
7,40.746573999999995,8.938487400000001
8,40.661995,18.3142275
9,40.746573999999995,9.0243366
10,40.687625,15.039937499999999
11,40.746573999999995,8.866946400000002
12,40.746573999999995,8.6666316
13,40.746573999999995,8.981412
14,40.661995,18.357063
15,40.746573999999995,8.938487400000001
16,40.70044,14.916192
17,40.746573999999995,8.909871
18,40.746573999999995,9.0243366
19,40.746573999999995,8.909871
20,40.723507000000005,18.1853304
21,40.746573999999995,9.138802200000002
22,40.70044,14.959068000000002
23,40.746573999999995,9.2246514
24,40.723507000000005,11.9075865
25,40.746573999999995,8.8240218
26,40.746573999999995,8.8240218
27,40.746573999999995,9.067261200000003
28,40.746573999999995,8.981412
29,40.746573999999995,8.781097200000001
30,40.723507000000005,14.767606500000001
31,40.746573999999995,8.909871
32,40.759389,8.7124407
33,40.746573999999995,9.0243366
34,40.67481,18.163032
35,40.759389,8.9128185
36,40.70044,15.001944
37,40.746573999999995,8.866946400000002
38,40.67481,18.362994
39,40.759389,8.7840042
40,40.661995,18.1999995
41,40.584456,8.626564500000002
42,40.525760000000005,14.758980000000003
43,40.571695999999996,8.909871
44,40.759389,8.9128185
45,40.746573999999995,8.7381726
46,40.759389,8.9128185
47,40.584456,8.984382000000002
48,40.54872800000001,18.070929600000003
49,40.584456,9.1131963
50,40.736322,11.9543928
51,40.759389,8.9128185
52,40.67481,12.064191000000001
53,40.571695999999996,8.981412
54,40.50024,12.264153
55,40.584456,9.0273201
56,40.710692,14.962952399999999
57,40.759389,8.7840042
58,40.736322,12.3263124
59,40.584456,8.869880400000001
60,40.584456,8.869880400000001
61,40.584456,9.184759800000002
62,40.584456,8.7840042
63,40.584456,9.141821700000001
64,40.584456,8.741066100000001
65,40.584456,8.869880400000001
66,40.513,18.211762500000003
67,40.584456,8.941443900000001
68,40.525760000000005,15.244908
69,40.584456,8.7124407
70,40.561488000000004,11.7970422
71,40.584456,8.7840042
72,40.561488000000004,11.9543928
73,40.584456,9.0273201
74,16.380628,18.0161088
75,16.41475,8.767725
76,16.443702000000002,8.8269423
77,40.584456,8.8269423
78,40.50024,12.064191000000001
79,40.584456,8.741066100000001
80,40.687625,11.9824125
81,40.759389,8.8269423
82,40.736322,11.7970422
83,40.584456,9.0273201
84,40.561488000000004,11.911479
85,40.597216,9.030303600000002
86,40.687625,18.2832
87,40.759389,8.8269423
88,40.736322,12.3263124
89,40.597216,8.872814400000001
90,40.584456,8.941443900000001
91,40.597216,9.030303600000002
92,40.597216,8.944400400000001
93,24.927331000000002,9.036691800000002
94,24.971375000000005,11.6966625
95,25.015418999999998,8.5836264
96,40.561488000000004,11.9543928
97,40.584456,9.1131963
98,40.561488000000004,11.911479
99,40.597216,9.073255200000002
100,40.571695999999996,18.1529682
101,40.584456,8.984382000000002
102,40.561488000000004,12.0831342
103,40.584456,8.9128185
104,40.561488000000004,12.6410136
